Full_Name,SSN,Birth_Date,Age,Gender,Total_Charge,Diagnosis
Jeffrey Richardson,884-21-5510,3/30/1986,31,Male,1255.85,S0047
Jennifer Patterson,380-11-4423,2/18/1976,41,Female,886.66,L2082
Elizabeth Harper,896-58-8333,4/1/1989,28,Female,997.55,O0989
Beverly Moore,957-82-1742,4/20/1980,37,Female,1609.43,M0847
Paul Ford,301-77-9383,11/12/1947,69,Male,343.12,S0047
Harold Ortiz,353-30-1385,10/29/1998,18,Male,1100.52,G4021
Joshua Diaz,440-52-6022,4/16/1972,45,Male,1416.81,K5530
Larry Harper,522-64-9828,3/8/1997,20,Male,1534.99,S0047
Anne Foster,786-12-2873,9/27/1999,18,Female,1475.42,R1934
Eugene Myers,578-24-0483,7/23/1940,77,Male,1871.32,S0047
Donna Ellis,736-79-2872,1/7/1964,53,Female,199.19,G4021
Lori Hughes,989-99-1453,12/12/1978,38,Female,1947,Y0703
Nicholas Russell,670-45-8947,8/26/1980,37,Male,1703.84,M0847
Tina Duncan,154-04-3158,1/7/1956,61,Female,1825.02,A3790
Frances Fields,651-77-6298,3/6/1970,47,Female,695.77,S0047
Kathryn Bowman,355-70-8346,11/20/1994,22,Female,1510.77,S0047
Wanda Howard,467-36-0518,12/25/1946,70,Female,11.68,M0847
Paula Jenkins,942-23-7819,3/7/1965,52,Female,1535.76,O0989
Peter Johnston,223-42-4219,10/5/1942,75,Male,1669.61,S0047
Chris Stewart,272-82-8524,7/9/1953,64,Male,248,S0047
Albert Bishop,225-01-9355,6/18/1997,20,Male,389.64,S0047
Patricia Harper,550-76-4114,3/2/2006,11,Female,1664.08,C4490
Mary King,875-41-5234,7/26/1937,79,Female,735.39,S0047
Anne Hanson,284-97-8815,2/17/2010,7,Female,1623.66,T2117
Christina Alexander,128-93-5486,8/1/2006,11,Female,573.11,S0047
Samuel Chapman,403-95-1284,8/18/1979,38,Male,1131.2,H0242
Amy Carter,984-05-5988,10/28/1997,19,Female,1177.62,S0047
Paul Richards,907-80-2617,6/17/2002,15,Male,1800.51,J9509
Anthony Richards,161-96-4496,5/6/1966,51,Male,722.61,V0401
Katherine Reyes,292-55-3567,2/1/2015,2,Female,1351.51,T2117
Raymond Williams,765-94-1039,7/27/1971,46,Male,1762.4,V0401
Joshua Morgan,348-80-0261,8/8/1963,54,Male,430.79,S0047
Joe Elliott,598-05-3888,7/4/1953,64,Male,1162.36,S0047
Jonathan Matthews,528-33-7738,12/21/2013,3,Male,1351.79,S0047
Maria Henderson,131-64-0716,4/4/1993,24,Female,1626.35,H0242
Linda Elliott,976-92-7476,3/19/1959,58,Female,871.09,M0847
Michelle Hanson,560-24-8691,9/24/1982,35,Female,982.91,M0847
Julia Garcia,869-60-5274,9/29/2012,5,Female,288.6,S0047
Raymond Alexander,403-55-6135,12/11/1942,74,Male,11.7,T2117
Robin Ortiz,112-81-0246,5/11/1971,46,Female,207.57,W1130
Donna Henry,692-07-9210,7/15/1969,48,Female,438.85,L2082
Eugene Fernandez,890-06-9767,8/16/2003,14,Male,795.6,S0047
Craig Long,741-07-9019,10/10/1941,76,Male,1220.88,I7021
Joe Burns,740-53-7260,7/8/1970,47,Male,1087.77,Y0703
Ryan Powell,688-09-7209,4/20/1950,67,Male,1628.18,S0047
Cheryl Kennedy,407-72-6040,12/14/1941,75,Female,1630.84,T2117
Carl Baker,350-17-7574,3/18/1953,64,Male,595.84,M0847
Christine Perkins,103-96-6009,2/12/1994,23,Female,23.29,S0047
Daniel Stevens,762-37-1349,12/10/2007,9,Male,1243.61,S0047
Adam Parker,950-12-7509,6/12/2001,16,Male,1231.52,S0047
Charles Matthews,947-97-8675,4/5/2001,16,Male,1611.85,M0847
Phyllis Sanchez,868-86-3620,7/30/1949,68,Female,89.53,R1934
Joyce Berry,574-93-8291,4/27/1946,71,Female,1058.3,V0401
Nancy Montgomery,826-34-5871,2/25/1939,78,Female,1323.86,T2117
Carl Armstrong,222-87-9904,8/11/2014,3,Male,676.37,M0847
Douglas West,296-88-7149,3/10/1944,73,Male,467.84,S0047
Sarah Stone,433-90-1696,7/19/1983,34,Female,1503.16,V0401
Rachel Bowman,663-72-6736,7/17/1997,20,Female,1803.68,S0047
Lisa Gibson,668-79-7096,10/23/2013,3,Female,522.68,T2117
Edward Kennedy,748-28-9748,8/12/1944,73,Male,238.09,H0242
Betty Cooper,433-22-6694,4/8/1937,79,Female,92.65,V0401
Sharon Watson,122-14-3679,7/9/1973,44,Female,30.73,S0047
Andrew Thompson,176-09-4561,7/6/1950,67,Male,986.42,H0242
Sean Hunter,682-47-9089,11/9/1967,49,Male,1137.33,S0047
Steve Woods,909-36-0426,4/8/1990,27,Male,1143.87,S0047
Laura Cruz,822-32-0458,10/5/1941,76,Female,592.12,V0401
Albert Hunter,629-03-8318,9/7/1982,35,Male,913.68,T2117
Ruby Harris,182-97-0538,7/9/1999,18,Female,631.69,K5530
Ralph Dunn,621-81-7404,5/12/1941,76,Male,1143.7,M0847
Donna Hunt,232-95-7864,12/16/1996,20,Female,713.27,S0047
Sara Sullivan,214-03-1188,7/24/1999,18,Female,1673.25,S0047
Susan Austin,606-47-8749,8/2/1943,74,Female,1593.56,T2117
Barbara Murphy,891-99-6297,12/21/2002,14,Female,432.86,F1123
Angela Burke,290-77-9915,1/30/1944,73,Female,1868.32,K5530
Betty Jackson,776-12-5049,7/26/1993,24,Female,511.08,O0989
Willie Black,536-54-1290,9/22/1968,49,Male,1461.87,T2117
Betty Larson,364-36-3218,4/17/1955,62,Female,1962.19,S0047
Jesse Dixon,678-39-5380,3/12/2003,14,Male,1944.52,S0047
Ashley Campbell,811-52-8206,8/10/1997,20,Female,342.96,Q7181
Laura Walker,307-60-6825,12/27/1994,22,Female,1108.08,S0047
Christopher Kelly,976-75-5770,1/22/1958,59,Male,1960.49,V0401
Joan Arnold,643-77-8782,9/13/1992,25,Female,744.88,F1123
Teresa Gonzalez,782-21-3363,10/23/2011,5,Female,580.18,M0847
Annie Allen,540-78-9526,3/21/1997,20,Female,532.62,S0047
Randy Kennedy,759-04-9247,11/21/1937,79,Male,926.76,F1123
Kathy Hunter,283-84-2886,11/11/1995,21,Female,1376.46,S0047
Scott Garrett,296-45-0225,9/25/1945,72,Male,192.59,I7021
Chris Warren,732-39-6819,12/20/1950,66,Male,32.59,T2117
Douglas Williams,992-20-6007,1/8/1955,62,Male,384.52,M0847
Joshua Chapman,640-16-5409,3/13/1999,18,Male,1331.39,S0047
Patrick Powell,993-43-1389,10/13/1986,30,Male,902.03,T2117
Diane Robinson,525-30-8103,11/18/1994,22,Female,285.81,V0401
Justin Chapman,389-94-3979,12/12/1945,71,Male,1365.17,T2117
Kimberly Mccoy,854-97-3840,3/17/1968,49,Female,450.76,S0047
Harold Stanley,173-54-0447,7/17/1977,40,Male,1833.58,T2117
Christine Stewart,210-84-2075,9/14/1986,31,Female,677.08,S0047
Richard Carr,851-83-8154,11/18/1965,51,Male,743.91,S0047
Janet Kim,446-88-0650,6/1/1979,38,Female,64.36,T2117
Theresa Henry,930-03-2818,5/2/1961,56,Female,74.62,S0047
Christina George,747-80-8774,9/23/1960,57,Female,1221.02,T2117
Irene Warren,480-00-6185,12/23/1963,53,Female,30.36,O0989
Virginia Moreno,341-04-5868,10/18/1988,28,Female,335.69,M0847
Chris Medina,125-72-7638,5/10/1979,38,Male,806.89,T2117
Marie Holmes,569-11-9949,11/30/1965,51,Female,1244.95,W1130
Shawn Andrews,904-00-6779,6/21/1999,18,Male,1190.49,B2701
Margaret Medina,353-61-3984,5/4/2013,4,Female,54.61,S0047
Shawn Ray,390-76-9393,11/22/2001,15,Male,1891.7,Y0703
Annie Reyes,390-74-3873,12/21/2000,16,Female,1410.83,I7021
Virginia Day,736-85-9311,5/28/1939,78,Female,1460.26,S0047
Dennis Ellis,628-25-5172,12/8/1987,29,Male,483.82,T2117
Jason Arnold,792-65-3004,6/16/1964,53,Male,1305.13,S0047
Howard Fox,306-04-4678,3/31/1991,26,Male,1826.7,P0822
Linda Fuller,822-05-6275,9/25/1997,20,Female,554.83,T2117
Ruth Hernandez,683-56-3806,12/17/2012,4,Female,1062.05,S0047
Anthony Mendoza,604-46-5385,10/5/2004,13,Male,956.88,E1037
Wayne Sims,300-00-7784,8/16/1989,28,Male,204.73,O0989
Joyce Graham,799-39-9065,2/19/1975,42,Female,1520.48,T2117
Anna Wood,649-84-8642,5/26/1973,44,Female,121.39,S0047
Diana Weaver,128-68-4828,12/3/1998,18,Female,27.65,W1130
Matthew Robertson,137-82-9238,12/6/1940,76,Male,975.68,S0047
Wanda Meyer,557-67-0395,9/19/1954,63,Female,367.35,V0401
Patricia Murray,286-81-0987,12/13/1959,57,Female,1278.84,S0047
Pamela Powell,448-14-2057,8/12/1982,35,Female,632.76,S0047
Gary Garrett,549-28-4221,10/17/2013,3,Male,833.97,S0047
Julie Duncan,258-88-2985,1/2/2001,16,Female,298.89,M0847
Emily Chavez,436-57-5780,5/6/1977,40,Female,175.88,I7021
Craig Fernandez,351-41-4926,10/23/1980,36,Male,1808,W1130
Keith Martin,161-73-6054,10/17/2010,6,Male,1659.24,M0847
Robin Payne,156-16-0732,11/22/1965,51,Female,1609.36,S0047
Carol Porter,148-15-0403,4/21/1940,77,Female,543.71,S0047
Patrick Diaz,733-76-2327,6/17/1938,79,Male,1299.14,T2117
Patrick Bradley,478-78-7602,8/27/1982,35,Male,1020.65,D3130
Michael Smith,345-17-9869,5/23/1971,46,Male,1012.64,S0047
Teresa Ortiz,936-44-6395,6/12/1982,35,Female,1665.89,O0989
Bonnie Young,906-26-4719,10/27/1951,65,Female,1038.06,T2117
Wanda Romero,608-06-3315,2/13/1947,70,Female,800.28,S0047
Tina Fields,152-58-6212,4/27/1991,26,Female,495.7,S0047
Clarence Kim,679-41-7438,3/29/2016,1,Male,218.69,S0047
Johnny Wilson,318-82-6329,9/28/1947,70,Male,494.64,V0401
Gregory Wallace,301-87-0768,1/26/1973,44,Male,445.53,T2117
Donald Hamilton,684-19-0492,12/29/1986,30,Male,88.3,R1934
Amanda Peterson,904-76-1211,5/18/2011,6,Female,1543.03,S0047
Jesse Robinson,210-30-2304,8/5/1989,28,Male,1020.81,S0047
Philip Long,860-59-9280,3/5/1989,28,Male,221.67,S0047
Nancy Fox,500-26-5786,10/8/2003,13,Female,46.65,S0047
Pamela Carroll,490-43-9815,2/22/1954,63,Female,777.25,T2117
Emily Cooper,950-22-3702,11/11/1979,37,Female,983.05,J9509
Shawn Kelly,844-63-0861,6/14/1937,79,Male,1945.31,S0047
Sara Lawrence,961-99-3058,2/17/1992,25,Female,1049.32,S0047
Jonathan Bennett,539-72-2295,9/23/1944,73,Male,381.49,S0047
Wayne Robinson,639-43-0167,6/30/2003,14,Male,1010.99,S0047
Eugene Wagner,389-13-1013,10/13/1982,34,Male,1483.6,S0047
Emily Hanson,574-93-7328,11/4/1944,72,Female,533.37,L2082
Raymond Sullivan,156-23-9874,9/16/1985,32,Male,1624.96,T2117
Doris Olson,403-26-3461,9/28/1994,23,Female,257.68,S0047
Sara Day,849-18-0484,5/6/1944,73,Female,1148.2,A3790
Louise Hill,446-96-4921,7/29/1982,35,Female,1169.57,S0047
Joe Scott,641-66-3457,3/9/1984,33,Male,983.66,S0047
Jane Carroll,511-36-0316,2/13/2002,15,Female,559.68,Y0703
Ruby Diaz,643-69-4275,10/30/1984,32,Female,137.97,S0047
Judy Wells,735-35-6268,10/17/1957,60,Female,437.63,T2117
Kimberly Ryan,255-23-0602,8/12/1994,23,Female,871.15,O0989
Michael Hanson,994-36-7578,11/29/1984,32,Male,524.06,T2117
Rachel Williams,332-20-6093,10/24/2013,3,Female,654.11,T2117
Janice Cook,179-78-1752,10/7/1996,21,Female,309.47,K5530
Sara Morrison,785-03-1048,3/21/1971,46,Female,694.37,S0047
Evelyn Ward,795-76-3775,8/11/1993,24,Female,1836.05,S0047
Alice Pierce,849-08-0655,12/13/1974,42,Female,593.88,S0047
Louis Harvey,284-55-7953,12/21/1960,56,Male,532.4,V0401
Bruce Wright,942-07-1366,1/2/1961,56,Male,1421.93,S0047
Justin Little,692-20-8868,12/16/1965,51,Male,1860.43,S0047
Carl Flores,205-63-8953,5/15/1982,35,Male,1267.61,S0047
Aaron Black,906-15-0851,1/20/1981,36,Male,1210.25,S0047
Jeremy Welch,960-04-0367,5/13/1964,53,Male,1022.39,S0047
Shawn Brooks,951-23-4480,6/22/2007,10,Male,1185.87,T2117
Russell Romero,443-32-4905,5/7/1990,27,Male,862.43,S0047
Daniel Williams,546-77-5039,6/7/1941,76,Male,1097.95,S0047
Nicole Parker,747-89-4544,5/30/1939,78,Female,10.7,T2117
Mark Watson,760-50-0596,4/5/1986,31,Male,1573.78,F1123
Kathleen Williams,526-29-8166,3/30/1980,37,Female,1286.12,S0047
Martin Elliott,531-58-6125,9/8/1941,76,Male,356.85,S0047
Henry Foster,572-17-7329,7/13/1946,71,Male,1749.7,R1934
Willie Simpson,976-41-0718,1/13/1992,25,Male,1710.37,S0047
Sandra Black,959-71-5603,8/29/1946,71,Female,1826.1,A3790
Harold Nguyen,655-69-7231,5/20/1941,76,Male,35.24,M0847
Henry Frazier,628-45-2504,11/14/2004,12,Male,506.61,Y0703
Justin Day,995-80-4122,3/3/1986,31,Male,1752.57,M0847
Harold Perez,153-52-8140,6/5/1951,66,Male,529.61,T2117
Scott Barnes,586-38-6440,4/19/1998,19,Male,1415.25,S0047
Joe Harper,670-43-6939,11/22/1990,26,Male,1930.39,Z8559
Peter Collins,817-29-7966,2/14/1945,72,Male,1676.44,G4021
Earl Hall,102-52-5221,9/25/1991,26,Male,1151.38,Q7181
Louis Montgomery,857-57-8014,3/25/1987,30,Male,581.03,Q7181
Anthony Cooper,846-31-4979,4/11/1978,39,Male,1186.7,S0047
Norma Gordon,262-73-3954,8/1/1939,78,Female,1418.84,S0047
Rose Perez,674-58-7669,7/15/1947,70,Female,1111.03,S0047
Jerry Berry,345-67-6993,8/10/1972,45,Male,1451.47,T2117
Gerald Washington,712-75-4001,10/10/1975,42,Male,1908.72,S0047
Martha Young,819-44-8382,1/12/1952,65,Female,1182.36,Y0703
Jane Lewis,938-54-7944,7/4/1961,56,Female,965.7,Z8559
Albert Banks,879-61-5808,11/3/2002,14,Male,419.09,S0047
Jack Davis,416-91-4118,7/16/1976,41,Male,517.08,V0401
Willie Dunn,427-98-1092,6/29/1994,23,Male,265.97,S0047
Jose Walker,825-75-3551,11/28/2013,3,Male,1831.67,H0242
Sarah Cooper,548-62-9213,6/19/1947,70,Female,1941.44,T2117
Mildred Lynch,100-84-7452,12/25/1949,67,Female,1627.23,S0047
Kathleen Hill,316-50-1605,3/22/1973,44,Female,569.81,D3130
Paul Howard,389-68-8588,12/8/1979,37,Male,1455.63,S0047
Todd Black,793-09-1187,10/9/1979,38,Male,1862.75,V0401
Adam Green,193-05-9786,2/7/1970,47,Male,1066.86,S0047
Jeremy Perry,437-52-5481,10/1/1995,22,Male,1183.62,S0047
Harold Wright,327-94-6062,5/18/2009,8,Male,616.2,T2117
Shirley Carter,513-27-4143,4/22/1962,55,Female,296.28,S0047
Randy Jenkins,134-08-6476,10/6/1972,45,Male,870.77,G4021
Gerald Taylor,606-91-8821,10/16/1979,37,Male,1308.8,S0047
Justin Scott,206-29-0145,11/24/1944,72,Male,1579.22,S0047
Andrew Garcia,849-80-8918,11/28/1994,22,Male,1278.13,S0047
Emily Richardson,578-50-7389,10/20/2004,12,Female,1344.03,M0847
Douglas Wagner,988-54-3825,4/29/1994,23,Male,667.72,W1130
Roger Elliott,426-46-9482,2/16/2016,1,Male,1921.48,S0047
Gerald Gardner,659-07-1359,8/20/2011,6,Male,1490.85,S0047
Elizabeth Larson,914-89-1267,9/24/2003,14,Female,902.48,V0401
Marilyn Hudson,780-23-7725,8/14/1986,31,Female,1233.09,H0242
Diane Young,274-52-4615,4/12/2006,11,Female,330.94,T2117
Thomas Mitchell,781-88-3324,11/13/2002,14,Male,1441.88,X9647
Christina Robertson,456-59-7098,7/3/2007,10,Female,48.6,O0989
Doris Hanson,182-34-4692,7/3/1981,36,Female,717.79,T2117
Roy Burns,591-03-1167,11/20/1964,52,Male,990.39,S0047
Kevin Reyes,984-57-6251,9/4/2015,2,Male,648.97,Z8559
Janice Bell,278-04-4186,1/15/1988,29,Female,1709.92,Y0703
Christine Mcdonald,572-85-0197,8/16/1958,59,Female,1408.26,O0989
Harry Lewis,924-29-7125,4/21/1996,21,Male,1775.75,M0847
Julie James,745-74-7817,8/1/1956,61,Female,1764.71,D3130
Jeremy Lewis,195-09-0368,7/16/2001,16,Male,157.77,H0242
Tina Walker,245-25-4231,9/9/1945,72,Female,1336.8,S0047
Betty Duncan,242-59-1817,5/21/1953,64,Female,467.97,T2117
Matthew Walker,975-21-6553,5/24/1988,29,Male,1456.98,S0047
Tammy Reyes,297-92-8629,1/15/1988,29,Female,161.37,H0242
Charles Young,626-74-6080,4/7/1955,62,Male,1832.87,S0047
Randy Mccoy,622-85-0937,11/30/1944,72,Male,43.43,T2117
Sharon Armstrong,239-05-6995,11/23/1964,52,Female,1106.89,S0047
Norma Lawson,764-63-5272,10/21/1946,71,Female,1792.1,O0989
Diane Jones,141-28-0466,11/24/2005,11,Female,1219.87,T2117
Stephanie Bowman,404-70-9901,2/18/1947,70,Female,1264.07,R1934
Mark Henderson,411-23-5287,6/9/1971,46,Male,115.7,V0401
Walter Garcia,744-36-2123,5/6/1975,42,Male,1618.66,S0047
Sara Burns,284-11-8359,10/10/1998,18,Female,795.77,S0047
Ralph Cook,776-61-9185,9/17/1951,66,Male,206.29,S0047
Ralph Gordon,385-20-2532,6/8/1963,54,Male,1972.48,J9509
Stephanie Gibson,102-80-7900,7/22/1964,53,Female,724.93,R1934
Carol Flores,470-99-5629,1/13/1945,72,Female,718.3,S0047
Shirley Hunter,128-01-5711,3/31/1938,79,Female,1045.13,I7021
Jane Hunter,674-59-0164,10/7/1995,22,Female,297.61,O0989
Phillip Williams,918-84-9030,12/16/1938,78,Male,96.72,S0047
Todd Welch,679-27-4705,1/9/1976,41,Male,1043.28,M0847
Barbara Garza,871-70-8764,11/16/1972,44,Female,367.82,J9509
Cheryl Green,868-09-5154,8/26/2003,14,Female,1166.02,S0047
Martha Cook,954-70-1780,5/27/1973,44,Female,1802.63,M0847
Wayne Alvarez,781-06-8634,6/4/1966,51,Male,1133.98,S0047
Louis Martinez,709-50-0720,7/19/2009,8,Male,383.08,T2117
Scott Dunn,154-61-7038,3/8/1980,37,Male,1938.24,T2117
Albert Barnes,133-60-9582,1/14/1953,64,Male,779.99,E1037
Sean Diaz,543-69-9103,12/3/1940,76,Male,740.71,T2117
Lillian Stewart,597-89-5196,4/10/2002,15,Female,1074.02,S0047
Brenda Schmidt,219-97-5554,10/1/2011,6,Female,1787.69,S0047
Kevin Wilson,624-24-4664,4/2/1981,36,Male,307.68,H0242
Katherine Fuller,248-82-4045,3/5/1971,46,Female,930.18,Q7181
Jeffrey Gray,222-60-2878,12/5/2011,5,Male,582.3,D3130
Paul Ross,345-11-0302,11/9/1979,37,Male,1538.94,M0847
Harry Duncan,128-15-3581,8/23/1938,79,Male,707.29,H0242
Matthew Moreno,106-95-6414,5/7/1938,79,Male,1529.61,H0242
Angela Williams,945-28-5726,1/6/1948,69,Female,850.16,S0047
Ann Ray,294-69-3267,2/11/2007,10,Female,1761.16,M0847
Janice Patterson,389-06-1664,1/27/1964,53,Female,1670.96,H0242
Martha Chavez,816-79-1283,5/14/1984,33,Female,1358.64,T2117
Jonathan Cruz,813-24-0109,11/19/1971,45,Male,432.05,O0989
Jane Dunn,455-83-4344,4/29/1980,37,Female,1090.76,M0847
Karen Burton,442-44-9649,3/29/1985,32,Female,1635.11,S0047
Roy Murray,818-59-5114,3/6/1958,59,Male,1583.19,S0047
Christina Jenkins,854-13-1403,5/22/1952,65,Female,552.3,S0047
Catherine Montgomery,350-69-6059,1/9/1947,70,Female,1574.6,S0047
Bonnie Austin,235-42-5465,11/1/2015,1,Female,1871.56,S0047
Maria Duncan,829-63-0854,12/5/1971,45,Female,569.63,T2117
Frank Alvarez,738-22-2327,6/21/1972,45,Male,1818.69,I7021
Samuel Andrews,908-42-3587,5/8/1966,51,Male,1446.33,I7021
Ryan Rivera,480-17-6407,9/15/2006,11,Male,1150.89,S0047
Peter Torres,562-98-3595,10/19/1962,54,Male,1182.05,T2117
Lisa Stone,276-85-3246,12/22/1980,36,Female,1545.27,T2117
Amanda West,360-81-3996,9/7/1958,59,Female,1516.25,T2117
Samuel Woods,569-52-7090,6/7/1938,79,Male,408.63,M0847
Kathleen Fox,260-33-9904,9/27/2008,9,Female,1359.56,S0047
Barbara Sullivan,570-37-2776,1/27/1953,64,Female,1067.9,M0847
Clarence Dixon,190-38-5773,3/23/1985,32,Male,890.09,S0047
Chris Simpson,642-31-4912,4/27/1943,74,Male,1926.21,S0047
Andrew Wells,753-75-6965,4/7/1992,25,Male,1317.99,S0047
Sean Coleman,502-35-8380,11/1/1978,38,Male,1306.13,S0047
Barbara Cruz,689-23-0508,12/14/1972,44,Female,1010.16,S0047
Gregory Chavez,749-95-1567,10/2/1946,71,Male,613.91,T2117
Tammy Ramirez,684-75-2989,9/7/1965,52,Female,596.95,S0047
Steven Ward,903-22-0057,2/24/1946,71,Male,1759.73,S0047
Bonnie Chapman,459-68-5412,5/18/2004,13,Female,1749.28,S0047
Ruth Richards,371-57-7010,6/24/1955,62,Female,536.73,Z8559
Heather Morris,622-88-8522,2/21/1942,75,Female,693.22,Q7181
Julie Snyder,971-21-1298,7/18/1999,18,Female,1957.12,S0047
Raymond Morales,617-28-9614,6/17/1973,44,Male,1432.74,S0047
Richard Richardson,388-98-1422,6/15/1981,36,Male,1844.75,D3130
Maria Armstrong,726-79-8089,6/1/1982,35,Female,1150.94,V0401
